timestamp_ph,timestamp_utc,latitude,longitude,B14,B15
2025-03-02 17:30:00,2025-03-02 09:30:00,14.77083,120.45537,270.0298911805538,264.4378455492206
2025-03-02 17:40:00,2025-03-02 09:40:00,14.77083,120.45537,276.1857346048434,270.04482251572165
2025-03-02 17:50:00,2025-03-02 09:50:00,14.77083,120.45537,275.99508703739355,269.3552384286415
2025-03-02 18:00:00,2025-03-02 10:00:00,14.77083,120.45537,270.0636876890696,262.538052640447
2025-03-02 18:10:00,2025-03-02 10:10:00,14.77083,120.45537,265.7413649978244,259.05007773740004
2025-03-02 18:20:00,2025-03-02 10:20:00,14.77083,120.45537,259.776973874829,254.48037110535023
2025-03-02 18:30:00,2025-03-02 10:30:00,14.77083,120.45537,268.25542235403447,261.57491438754005
2025-03-02 18:40:00,2025-03-02 10:40:00,14.77083,120.45537,277.5729554883376,271.34337773052965
2025-03-02 18:50:00,2025-03-02 10:50:00,14.77083,120.45537,272.07015283726435,266.05459380532983
2025-03-02 19:00:00,2025-03-02 11:00:00,14.77083,120.45537,279.52698351554574,273.2635531540409
2025-03-02 19:10:00,2025-03-02 11:10:00,14.77083,120.45537,278.7869525682054,272.2232852381088
2025-03-02 19:20:00,2025-03-02 11:20:00,14.77083,120.45537,267.84112220679833,261.05251570511126
2025-03-02 19:30:00,2025-03-02 11:30:00,14.77083,120.45537,262.6079280641638,257.0455015566684
2025-03-02 19:40:00,2025-03-02 11:40:00,14.77083,120.45537,260.30542912438744,255.3562421690395
2025-03-02 19:50:00,2025-03-02 11:50:00,14.77083,120.45537,275.86778607206764,269.3898225216644
2025-03-02 20:00:00,2025-03-02 12:00:00,14.77083,120.45537,269.79294944734016,263.6018220154091
2025-03-02 20:10:00,2025-03-02 12:10:00,14.77083,120.45537,271.93767231110223,265.69743862796105
2025-03-02 20:20:00,2025-03-02 12:20:00,14.77083,120.45537,274.7469494583003,268.7656787740705
2025-03-02 20:30:00,2025-03-02 12:30:00,14.77083,120.45537,276.9447521597339,270.79846000141487
2025-03-02 20:40:00,2025-03-02 12:40:00,14.77083,120.45537,273.38503098844507,267.2248230462795
2025-03-02 20:50:00,2025-03-02 12:50:00,14.77083,120.45537,277.69813265070377,271.5470397962022
2025-03-02 21:00:00,2025-03-02 13:00:00,14.77083,120.45537,284.77137524608236,279.38046126895375
2025-03-02 21:10:00,2025-03-02 13:10:00,14.77083,120.45537,290.0820037290851,285.9878870748301
2025-03-02 21:20:00,2025-03-02 13:20:00,14.77083,120.45537,285.47106666264204,280.17074724058955
2025-03-02 21:30:00,2025-03-02 13:30:00,14.77083,120.45537,291.79823026493506,288.19512207275636
2025-03-02 21:40:00,2025-03-02 13:40:00,14.77083,120.45537,293.4081733932967,290.5113613214228
2025-03-02 21:50:00,2025-03-02 13:50:00,14.77083,120.45537,293.29971636908283,290.3368466605955
2025-03-02 22:00:00,2025-03-02 14:00:00,14.77083,120.45537,293.35396508805024,290.39504186164095
2025-03-02 22:10:00,2025-03-02 14:10:00,14.77083,120.45537,293.32683999377497,290.4241323345191
2025-03-02 22:20:00,2025-03-02 14:20:00,14.77083,120.45537,293.38106850150444,290.4241323345191
2025-03-02 22:30:00,2025-03-02 14:30:00,14.77083,120.45537,293.5165229409437,290.48228973204965
2025-03-02 22:50:00,2025-03-02 14:50:00,14.77083,120.45537,293.489450672811,290.5113613214228
2025-03-02 23:00:00,2025-03-02 15:00:00,14.77083,120.45537,293.46236447458716,290.48228973204965
2025-03-02 23:10:00,2025-03-02 15:10:00,14.77083,120.45537,293.2725942149271,290.3077372646517
2025-03-02 23:20:00,2025-03-02 15:20:00,14.77083,120.45537,293.2725942149271,290.3659450851399
2025-03-02 23:30:00,2025-03-02 15:30:00,14.77083,120.45537,293.32683999377497,290.3659450851399
2025-03-02 23:40:00,2025-03-02 15:40:00,14.77083,120.45537,293.2725942149271,290.39504186164095
2025-03-02 23:50:00,2025-03-02 15:50:00,14.77083,120.45537,293.38106850150444,290.48228973204965
2025-03-03 00:00:00,2025-03-02 16:00:00,14.77083,120.45537,293.43527204953585,290.4532118522265
2025-03-03 00:10:00,2025-03-02 16:10:00,14.77083,120.45537,293.191167024711,290.19124579838166
2025-03-03 00:20:00,2025-03-02 16:20:00,14.77083,120.45537,293.10969113292384,290.04548659293914
2025-03-03 00:30:00,2025-03-02 16:30:00,14.77083,120.45537,293.16401209254315,290.1329620818481
2025-03-03 00:40:00,2025-03-02 16:40:00,14.77083,120.45537,293.13685861783665,290.10380837817206
2025-03-03 00:50:00,2025-03-02 16:50:00,14.77083,120.45537,293.13685861783665,290.1329620818481
2025-03-03 01:00:00,2025-03-02 17:00:00,14.77083,120.45537,293.21831568622883,290.19124579838166
2025-03-03 01:10:00,2025-03-02 17:10:00,14.77083,120.45537,292.94655410670174,289.98713471259157
2025-03-03 01:20:00,2025-03-02 17:20:00,14.77083,120.45537,292.2370205466799,289.3142958636732
2025-03-03 01:30:00,2025-03-02 17:30:00,14.77083,120.45537,293.32683999377497,290.4241323345191
2025-03-03 01:40:00,2025-03-02 17:40:00,14.77083,120.45537,293.2725942149271,290.4241323345191
2025-03-03 01:50:00,2025-03-02 17:50:00,14.77083,120.45537,293.13685861783665,290.1621047760618
2025-03-03 02:00:00,2025-03-02 18:00:00,14.77083,120.45537,292.5923254495011,289.66577136363173
2025-03-03 02:10:00,2025-03-02 18:10:00,14.77083,120.45537,292.15486961641074,289.07946339096725
2025-03-03 02:20:00,2025-03-02 18:20:00,14.77083,120.45537,293.16401209254315,290.19124579838166
2025-03-03 02:30:00,2025-03-02 18:30:00,14.77083,120.45537,293.0825096280211,290.04548659293914
2025-03-03 02:40:00,2025-03-02 18:40:00,14.77083,120.45537,289.32652121411536,284.29210505638565
